time,bin_id,zone,fill_level,classe_reelle,classe_predite,correct,proba_pas_urgent,proba_demain,proba_urgent,label_reel,label_predit
2025-10-20 15:00:00,4781,Saint-Lambert,13.24,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-20 16:00:00,4781,Saint-Lambert,14.07,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-20 17:00:00,4781,Saint-Lambert,14.94,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-20 18:00:00,4781,Saint-Lambert,15.92,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-20 19:00:00,4781,Saint-Lambert,17.0,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-20 20:00:00,4781,Saint-Lambert,17.79,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-20 21:00:00,4781,Saint-Lambert,18.47,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-20 22:00:00,4781,Saint-Lambert,18.99,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-20 23:00:00,4781,Saint-Lambert,19.34,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-21 00:00:00,4781,Saint-Lambert,19.58,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-21 01:00:00,4781,Saint-Lambert,19.84,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-21 02:00:00,4781,Saint-Lambert,20.06,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-21 03:00:00,4781,Saint-Lambert,20.26,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-21 04:00:00,4781,Saint-Lambert,20.44,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-21 05:00:00,4781,Saint-Lambert,20.74,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-21 06:00:00,4781,Saint-Lambert,21.24,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
2025-10-21 07:00:00,4781,Saint-Lambert,21.9,0,0,1,1.0,0.0,0.0,Pas urgent,Pas urgent
