time,bin_id,zone,real,predicted,error
2025-10-19 09:00:00,4781,Saint-Lambert,83.53,83.59552,0.06552001953124886
2025-10-19 10:00:00,4781,Saint-Lambert,84.27,84.04175,0.22825195312499602
2025-10-19 11:00:00,4781,Saint-Lambert,85.09,85.30225,0.21225372314452784
2025-10-19 12:00:00,4781,Saint-Lambert,86.03,86.18327,0.15327331542968636
2025-10-19 13:00:00,4781,Saint-Lambert,86.97,86.73464,0.2353579711914051
2025-10-19 14:00:00,4781,Saint-Lambert,87.74,87.627525,0.11247467041015113
2025-10-19 15:00:00,4781,Saint-Lambert,88.6,88.56506,0.034936523437494316
2025-10-19 16:00:00,4781,Saint-Lambert,89.57,89.46406,0.10594207763671193
2025-10-19 17:00:00,4781,Saint-Lambert,90.43,90.59323,0.16323120117186818
2025-10-19 18:00:00,4781,Saint-Lambert,91.36,91.60704,0.24704040527343807
2025-10-19 19:00:00,4781,Saint-Lambert,92.44,92.3819,0.058103027343747726
2025-10-19 21:00:00,4781,Saint-Lambert,5.43,7.4558167,2.025816745758057
2025-10-19 22:00:00,4781,Saint-Lambert,5.55,5.0269423,0.5230577468872069
2025-10-19 23:00:00,4781,Saint-Lambert,5.66,5.69732,0.037319984436035014
2025-10-20 00:00:00,4781,Saint-Lambert,5.78,5.822962,0.042961807250976314
2025-10-20 01:00:00,4781,Saint-Lambert,5.9,5.791074,0.10892620086669957
2025-10-20 02:00:00,4781,Saint-Lambert,6.02,5.819381,0.20061876296997028
2025-10-20 03:00:00,4781,Saint-Lambert,6.18,6.3093767,0.12937671661376982
2025-10-20 04:00:00,4781,Saint-Lambert,6.38,6.493614,0.11361419677734386
2025-10-20 05:00:00,4781,Saint-Lambert,6.83,6.672604,0.1573959159851075
2025-10-20 06:00:00,4781,Saint-Lambert,7.43,7.292831,0.13716905593872042
2025-10-20 07:00:00,4781,Saint-Lambert,8.04,8.161713,0.12171264648437585
2025-10-20 08:00:00,4781,Saint-Lambert,8.78,8.940059,0.1600587081909186
2025-10-20 09:00:00,4781,Saint-Lambert,9.47,9.480956,0.010956077575682954
2025-10-20 10:00:00,4781,Saint-Lambert,10.15,10.191427,0.04142723083496058
2025-10-20 11:00:00,4781,Saint-Lambert,10.88,10.916863,0.036863441467284375
2025-10-20 12:00:00,4781,Saint-Lambert,11.84,11.716977,0.12302288055419908
2025-10-20 13:00:00,4781,Saint-Lambert,12.51,12.333531,0.17646862030029276
2025-10-20 14:00:00,4781,Saint-Lambert,13.24,13.150247,0.08975337982177756
2025-10-20 15:00:00,4781,Saint-Lambert,14.07,13.941871,0.12812931060791044
2025-10-20 16:00:00,4781,Saint-Lambert,14.94,14.975284,0.035283622741699716
2025-10-20 17:00:00,4781,Saint-Lambert,15.92,15.794799,0.12520114898681634
2025-10-20 18:00:00,4781,Saint-Lambert,17.0,16.90022,0.09977912902832031
2025-10-20 19:00:00,4781,Saint-Lambert,17.79,17.821648,0.0316476440429696
2025-10-20 20:00:00,4781,Saint-Lambert,18.47,18.616327,0.1463272857666027
2025-10-20 21:00:00,4781,Saint-Lambert,18.99,19.003038,0.013038406372071876
2025-10-20 22:00:00,4781,Saint-Lambert,19.34,19.484417,0.14441696166992202
2025-10-20 23:00:00,4781,Saint-Lambert,19.58,19.817646,0.23764602661132983
2025-10-21 00:00:00,4781,Saint-Lambert,19.84,19.847988,0.007988128662109517
2025-10-21 01:00:00,4781,Saint-Lambert,20.06,20.089577,0.02957672119140753
2025-10-21 02:00:00,4781,Saint-Lambert,20.26,20.435785,0.1757852935791
2025-10-21 03:00:00,4781,Saint-Lambert,20.44,20.454056,0.014055786132811221
2025-10-21 04:00:00,4781,Saint-Lambert,20.74,20.865625,0.12562538146972813
2025-10-21 05:00:00,4781,Saint-Lambert,21.24,21.381569,0.1415689086914078
2025-10-21 06:00:00,4781,Saint-Lambert,21.9,21.909071,0.009070968627931109
2025-10-21 07:00:00,4781,Saint-Lambert,22.99,22.655745,0.33425544738769375
