time,bin_id,zone,fill_level_reel,fill_level_predit,erreur_abs
2025-10-19 09:00:00,4781,Saint-Lambert,83.53,83.7031,0.1731021118164051
2025-10-19 10:00:00,4781,Saint-Lambert,84.27,84.148346,0.12165405273437102
2025-10-19 11:00:00,4781,Saint-Lambert,85.09,85.385605,0.2956048583984341
2025-10-19 12:00:00,4781,Saint-Lambert,86.03,86.33688,0.30688354492187386
2025-10-19 13:00:00,4781,Saint-Lambert,86.97,86.86014,0.10986206054687386
2025-10-19 14:00:00,4781,Saint-Lambert,87.74,87.74332,0.003316650390630116
2025-10-19 15:00:00,4781,Saint-Lambert,88.6,88.59383,0.006173706054681816
2025-10-19 16:00:00,4781,Saint-Lambert,89.57,89.425735,0.14426452636718068
2025-10-19 17:00:00,4781,Saint-Lambert,90.43,90.57701,0.14701110839843068
2025-10-19 18:00:00,4781,Saint-Lambert,91.36,91.50514,0.14514221191406307
2025-10-19 19:00:00,4781,Saint-Lambert,92.44,92.428604,0.011395874023435226
2025-10-19 21:00:00,4781,Saint-Lambert,5.43,7.531653,2.101652927398682
2025-10-19 22:00:00,4781,Saint-Lambert,5.55,5.0968494,0.4531505584716795
2025-10-19 23:00:00,4781,Saint-Lambert,5.66,5.6929755,0.03297552108764634
2025-10-20 00:00:00,4781,Saint-Lambert,5.78,5.763931,0.016069202423095952
2025-10-20 01:00:00,4781,Saint-Lambert,5.9,5.7579856,0.14201440811157262
2025-10-20 02:00:00,4781,Saint-Lambert,6.02,5.792552,0.2274480056762691
2025-10-20 03:00:00,4781,Saint-Lambert,6.18,6.2757506,0.09575063705444364
2025-10-20 04:00:00,4781,Saint-Lambert,6.38,6.438746,0.05874597549438487
2025-10-20 05:00:00,4781,Saint-Lambert,6.83,6.6374955,0.19250448226928718
2025-10-20 06:00:00,4781,Saint-Lambert,7.43,7.1729684,0.25703161239623995
2025-10-20 07:00:00,4781,Saint-Lambert,8.04,8.257434,0.21743389129638757
2025-10-20 08:00:00,4781,Saint-Lambert,8.78,9.002093,0.22209331512451236
2025-10-20 09:00:00,4781,Saint-Lambert,9.47,9.4037695,0.0662305068969733
2025-10-20 10:00:00,4781,Saint-Lambert,10.15,10.165058,0.01505813598632777
2025-10-20 11:00:00,4781,Saint-Lambert,10.88,10.948138,0.06813823699951094
2025-10-20 12:00:00,4781,Saint-Lambert,11.84,11.664465,0.17553504943847642
2025-10-20 13:00:00,4781,Saint-Lambert,12.51,12.307672,0.20232845306396463
2025-10-20 14:00:00,4781,Saint-Lambert,13.24,13.133052,0.10694812774658224
2025-10-20 15:00:00,4781,Saint-Lambert,14.07,14.011203,0.058797187805176065
2025-10-20 16:00:00,4781,Saint-Lambert,14.94,14.978998,0.03899818420410206
2025-10-20 17:00:00,4781,Saint-Lambert,15.92,15.7858,0.1342000198364257
2025-10-20 18:00:00,4781,Saint-Lambert,17.0,16.905777,0.0942230224609375
2025-10-20 19:00:00,4781,Saint-Lambert,17.79,17.765934,0.024066009521483522
2025-10-20 20:00:00,4781,Saint-Lambert,18.47,18.636074,0.1660740661621105
2025-10-20 21:00:00,4781,Saint-Lambert,18.99,18.901497,0.08850311279296719
2025-10-20 22:00:00,4781,Saint-Lambert,19.34,19.47947,0.1394692993164064
2025-10-20 23:00:00,4781,Saint-Lambert,19.58,19.771036,0.19103614807129077
2025-10-21 00:00:00,4781,Saint-Lambert,19.84,19.889378,0.04937759399414077
2025-10-21 01:00:00,4781,Saint-Lambert,20.06,20.102041,0.042041244506837216
2025-10-21 02:00:00,4781,Saint-Lambert,20.26,20.375172,0.11517166137695156
2025-10-21 03:00:00,4781,Saint-Lambert,20.44,20.418165,0.02183479309082159
2025-10-21 04:00:00,4781,Saint-Lambert,20.74,20.907705,0.1677053070068375
2025-10-21 05:00:00,4781,Saint-Lambert,21.24,21.353867,0.11386657714843906
2025-10-21 06:00:00,4781,Saint-Lambert,21.9,21.93397,0.033969497680665484
2025-10-21 07:00:00,4781,Saint-Lambert,22.99,22.607586,0.38241409301757656
2025-10-21 08:00:00,4781,Saint-Lambert,23.86,23.789742,0.07025848388671818
2025-10-21 09:00:00,4781,Saint-Lambert,24.66,24.903708,0.2437075042724608
2025-10-21 10:00:00,4781,Saint-Lambert,25.52,25.693306,0.17330596923828168
2025-10-21 11:00:00,4781,Saint-Lambert,26.38,26.445683,0.06568252563476662
2025-10-21 12:00:00,4781,Saint-Lambert,27.44,27.382612,0.05738777160644659
2025-10-21 13:00:00,4781,Saint-Lambert,28.11,28.062101,0.047898635864257244
2025-10-21 14:00:00,4781,Saint-Lambert,28.78,29.02205,0.24205085754394418
2025-10-21 15:00:00,4781,Saint-Lambert,29.8,29.454462,0.34553794860839915
2025-10-21 16:00:00,4781,Saint-Lambert,30.79,30.320436,0.46956352233886633
2025-10-21 17:00:00,4781,Saint-Lambert,31.64,31.944283,0.3042825317382807
2025-10-21 18:00:00,4781,Saint-Lambert,32.72,32.89448,0.174481658935548
2025-10-21 19:00:00,4781,Saint-Lambert,33.48,33.454697,0.025303344726559374
2025-10-21 20:00:00,4781,Saint-Lambert,34.08,34.328167,0.24816696166992358
2025-10-21 21:00:00,4781,Saint-Lambert,34.62,34.63041,0.010409240722658808
