feature,importance
activity_enc,0.23112509
fill_lag1h,0.119006306
fill_level,0.104700506
commerce_count,0.08065727
fill_rate_mean_24h,0.071254
fill_delta_24h,0.0466987
fill_lag2h,0.038111784
fill_rate_mean_7d,0.028837085
weight_kg_lag1,0.02477752
density_hab_km2,0.020013327
collected,0.01706007
hours_since_collection,0.013851975
dow_cos,0.012730331
fill_trend_7d,0.011399196
dow_sin,0.010456169
zone_enc,0.010313151
type_bin_enc,0.010051404
fill_same_hour_last_week,0.009693104
is_weekend,0.00840409
fill_mean_6h,0.007859961
fill_std_7d,0.0078265015
fill_lag168h,0.0077153016
fill_lag48h,0.0074948366
month_cos,0.006729992
fill_lag3h,0.0066295285
fill_lag6h,0.0062982813
fill_lag24h,0.0060809418
fill_delta_6h,0.005379617
fill_mean_24h,0.0052373772
fill_lag12h,0.0050305324
hour_cos,0.00486311
fill_mean_7d,0.0048505045
hour_sin,0.004739687
month_sin,0.0036453458
temp,0.003512326
battery_level,0.003118733
fill_delta_12h,0.0030636983
fill_delta_1h,0.0025576232
fill_rate_mean_6h,0.0024961724
rate_lag1h,0.0023603647
rate_lag24h,0.002347807
rate_lag48h,0.0022165922
rhum,0.0022025255
rate_lag12h,0.0020768768
wspd,0.0020282466
fill_rate_max_6h,0.0019373139
rate_lag2h,0.0017519139
rate_lag168h,0.0017068409
prcp,0.0016659666
rate_lag6h,0.0015773467
rssi_lag1,0.0013726446
rate_lag3h,0.0012517705
rate_accel,0.001232677
